HUC8,mean_predictedBFI
14070006,0.5402433057226038
14070007,0.4667368731129087
14080105,0.44627156925031475
14080106,0.4570092310787092
14080201,0.5829121770155107
14080204,0.28515146151362153
14080205,0.5236189487721077
15010001,0.6521992654111047
15010002,0.7917810239480274
15010003,0.41920100621582507
15010004,0.8201112980393441
15010005,0.8742715421650639
15010006,0.8209922132909278
15010007,0.3343106333910902
15010009,0.40671669715692044
15010010,0.5797520796405515
15010014,0.6428731067293034
15020001,0.40358337732341043
15020002,0.37645492997413194
15020003,0.480336286968581
15020004,0.5874536692256616
15020005,0.41585995911416135
15020006,0.40940954172015875
15020007,0.5060513911279388
15020008,0.20364329327273623
15020009,0.4495940837768942
15020010,0.24066206510151095
15020011,0.5090111571777151
15020012,0.4782659342878996
15020013,0.45761533961352935
15020014,0.6822261954880685
15020015,0.44142526356149353
15020016,0.3108244662566103
15020017,0.37569053234659944
15020018,0.5892881040643125
15030101,0.27011384366583874
15030103,0.4205071385331448
15030104,0.7096257000580302
15030105,0.6383425042253181
15030106,0.7395632347844598
15030107,0.3660617298256916
15030108,0.5667386069221633
15030201,0.26945648660707816
15030202,0.23603918376906174
15030203,0.2537351273625061
15030204,0.4176045714140658
15040002,0.40883035637205706
15040003,0.7991634648466482
15040004,0.4600008473876291
15040005,0.48248312441130503
15040006,0.415922726701853
15040007,0.2988202185121694
15050100,0.44897978834017227
15050201,0.361798957378337
15050202,0.2486421943336863
15050203,0.41249637286856683
15050301,0.3053482977629969
15050302,0.2611466218329963
15050303,0.35161746367814894
15050304,0.28213972896821554
15050305,0.41284427212917074
15050306,0.3897923460232041
15060101,0.454944908229036
15060102,0.5769161467557662
15060103,0.4731637847280865
15060104,0.41365379051967416
15060105,0.3913251354322761
15060106,0.36514066125355177
15060201,0.33695455288739373
15060202,0.44507094081764925
15060203,0.41755522516616317
15070101,0.3831537665350789
15070102,0.23896102102188616
15070103,0.29265250322168596
15070104,0.5396259967809036
15070201,0.4261634427386412
15070202,0.4052269905448779
15070203,0.4445774882089042
15080101,0.5638236040211636
15080102,0.40967939375422086
15080103,0.42907651091853444
15080200,0.28528836690260445
15080301,0.41467214094217764
15080302,0.39485056522516204
